TransactionID,Date,CustomerID,ProductID,StoreID,Quantity,Discount,PaymentMethod
T00001,18-06-24,C160,P014,S003,1,0.1,Bank Transfer
T00002,02-11-23,C171,P030,S004,3,0.15,Bank Transfer
T00003,28-03-24,C142,P002,S002,2,0.15,Mobile Money
T00004,15-06-24,C174,P050,S002,5,0.1,Mobile Money
T00005,29-08-24,C141,P036,S001,3,0.1,Credit Card
T00006,28-03-25,C111,P036,S005,5,0.1,Mobile Money
T00007,09-11-24,C114,P009,S004,2,0.15,Credit Card
T00008,28-05-24,C169,P005,S001,3,0.1,Cash
T00009,04-09-24,C193,P035,S002,3,0.05,Credit Card
T00010,16-06-24,C038,P045,S001,1,0.05,Mobile Money
T00011,09-03-25,C157,P022,S001,4,0.15,Credit Card
T00012,06-06-24,C184,P042,S004,4,0.15,Credit Card
T00013,02-10-23,C038,P048,S001,1,0.15,Credit Card
T00014,28-10-24,C046,P034,S005,4,0,Credit Card
T00015,23-03-25,C032,P016,S004,2,0.15,Bank Transfer
T00016,14-12-23,C194,P024,S004,5,0.15,Mobile Money
T00017,24-12-24,C041,P026,S004,4,0.1,Credit Card
T00018,30-05-25,C164,P033,S003,5,0.15,Credit Card
T00019,21-04-25,C071,P011,S004,1,0.1,Credit Card
T00020,07-01-25,C070,P007,S003,3,0,Credit Card
T00021,16-11-24,C039,P018,S002,4,0.05,Credit Card
T00022,26-11-24,C017,P022,S004,4,0.1,Mobile Money
T00023,02-08-24,C107,P023,S001,2,0.15,Mobile Money
T00024,30-03-25,C198,P013,S005,1,0.15,Mobile Money
T00025,02-06-24,C002,P039,S003,3,0.15,Mobile Money
T00026,26-10-24,C138,P021,S005,5,0.05,Mobile Money
T00027,23-01-24,C057,P039,S003,4,0.15,Cash
T00028,15-12-24,C100,P020,S003,4,0.05,Mobile Money
T00029,09-04-25,C033,P013,S005,5,0,Mobile Money
T00030,26-02-25,C152,P028,S005,1,0,Mobile Money
T00031,16-12-24,C035,P019,S004,2,0,Bank Transfer
T00032,16-01-25,C098,P028,S003,2,0.15,Bank Transfer
T00033,20-07-25,C087,P021,S004,3,0.15,Bank Transfer
T00034,13-11-23,C021,P037,S004,1,0,Bank Transfer
T00035,16-02-24,C058,P047,S001,1,0,Credit Card
T00036,03-06-25,C052,P049,S001,5,0.05,Credit Card
T00037,17-01-24,C033,P030,S004,1,0.05,Mobile Money
T00038,06-05-25,C180,P041,S003,3,0.05,Cash
T00039,13-10-24,C200,P001,S002,3,0,Cash
T00040,02-08-24,C080,P011,S005,4,0.15,Credit Card
T00041,20-12-23,C020,P044,S005,2,0,Bank Transfer
T00042,03-06-24,C176,P025,S005,1,0,Bank Transfer
T00043,30-10-24,C137,P011,S004,3,0,Bank Transfer
T00044,31-12-24,C004,P033,S004,4,0,Mobile Money
T00045,30-09-24,C093,P045,S004,2,0.15,Credit Card
T00046,27-11-23,C188,P027,S005,3,0.15,Mobile Money
T00047,06-05-25,C112,P045,S005,3,0.1,Credit Card
T00048,25-01-25,C023,P011,S003,4,0.05,Mobile Money
T00049,09-08-25,C146,P013,S005,4,0.1,Cash
T00050,14-08-25,C127,P007,S003,2,0.15,Credit Card
T00051,25-09-24,C091,P026,S003,3,0.1,Bank Transfer
T00052,09-05-25,C143,P022,S001,5,0.05,Cash
T00053,30-09-24,C062,P047,S004,4,0.05,Mobile Money
T00054,29-01-24,C166,P001,S004,4,0,Cash
T00055,27-06-24,C076,P009,S002,4,0.05,Bank Transfer
T00056,19-08-25,C170,P028,S005,3,0.15,Bank Transfer
T00057,11-10-24,C109,P011,S005,3,0.1,Mobile Money
T00058,20-01-24,C070,P034,S003,3,0.05,Cash
T00059,14-02-25,C185,P027,S002,3,0,Credit Card
T00060,26-11-24,C050,P044,S002,4,0.1,Bank Transfer
T00061,20-03-25,C026,P006,S002,3,0.05,Bank Transfer
T00062,03-05-25,C046,P027,S003,1,0.05,Bank Transfer
T00063,01-06-24,C012,P036,S001,5,0.1,Credit Card
T00064,15-11-24,C164,P048,S004,1,0,Bank Transfer
T00065,26-05-24,C121,P028,S004,4,0.1,Credit Card
T00066,20-04-24,C014,P010,S003,4,0,Cash
T00067,16-02-25,C103,P042,S004,1,0,Credit Card
T00068,15-03-24,C039,P002,S005,3,0,Credit Card
T00069,14-11-23,C031,P040,S005,4,0.05,Mobile Money
T00070,02-12-24,C116,P013,S004,3,0.15,Bank Transfer
T00071,18-11-23,C146,P044,S005,1,0,Credit Card
T00072,05-01-25,C161,P012,S002,3,0,Credit Card
T00073,08-10-24,C062,P022,S002,5,0,Credit Card
T00074,01-07-24,C001,P014,S004,4,0.15,Bank Transfer
T00075,24-04-24,C009,P018,S002,3,0.1,Mobile Money
T00076,20-05-25,C019,P005,S002,3,0.05,Mobile Money
T00077,19-06-25,C030,P031,S005,2,0.05,Bank Transfer
T00078,24-07-24,C037,P015,S001,1,0.05,Bank Transfer
T00079,06-01-24,C153,P018,S005,3,0.15,Cash
T00080,21-11-23,C120,P021,S003,4,0.1,Mobile Money
T00081,20-06-24,C113,P009,S001,5,0,Mobile Money
T00082,23-10-23,C189,P009,S003,5,0.1,Cash
T00083,16-08-24,C024,P039,S002,5,0,Bank Transfer
T00084,28-05-25,C148,P038,S001,2,0.15,Mobile Money
T00085,13-10-23,C072,P014,S002,5,0.15,Mobile Money
T00086,17-09-23,C024,P018,S004,3,0.15,Bank Transfer
T00087,17-10-24,C083,P036,S001,2,0.1,Mobile Money
T00088,23-05-25,C178,P024,S004,3,0.15,Cash
T00089,31-01-25,C117,P049,S001,3,0.1,Bank Transfer
T00090,15-11-23,C030,P046,S004,5,0,Mobile Money
T00091,26-07-25,C106,P039,S001,2,0.1,Mobile Money
T00092,06-05-25,C161,P049,S004,1,0.05,Bank Transfer
T00093,23-09-23,C141,P048,S002,3,0.15,Mobile Money
T00094,24-12-23,C032,P019,S001,5,0.05,Credit Card
T00095,13-10-24,C080,P030,S005,1,0.15,Cash
T00096,08-06-24,C058,P048,S001,4,0,Credit Card
